Gene_ID,Category
EVM0000009,Symbiotic_specific_UP
EVM0000010,Symbiotic_specific_UP
EVM0000011,Symbiotic_specific_UP
EVM0000033,Symbiotic_specific_UP
EVM0000061,Symbiotic_specific_UP
EVM0000110,Symbiotic_specific_UP
EVM0000112,Symbiotic_specific_UP
EVM0000121,Symbiotic_specific_UP
EVM0000192,Symbiotic_specific_UP
EVM0000240,Symbiotic_specific_UP
EVM0000243,Symbiotic_specific_UP
EVM0000265,Symbiotic_specific_UP
EVM0000267,Symbiotic_specific_UP
EVM0000294,Symbiotic_specific_UP
EVM0000297,Symbiotic_specific_UP
EVM0000306,Symbiotic_specific_UP
EVM0000380,Symbiotic_specific_UP
EVM0000461,Symbiotic_specific_UP
EVM0000464,NonSymbiotic_specific_DOWN
EVM0000477,Symbiotic_specific_UP
EVM0000486,Symbiotic_specific_UP
EVM0000508,Symbiotic_specific_UP
EVM0000541,Symbiotic_specific_UP
EVM0000549,Symbiotic_specific_UP
EVM0000563,Symbiotic_specific_UP
EVM0000615,Symbiotic_specific_UP
EVM0000636,Symbiotic_specific_UP
EVM0000658,NonSymbiotic_specific_DOWN
EVM0000664,Symbiotic_specific_UP
EVM0000666,Symbiotic_specific_UP
EVM0000695,NonSymbiotic_specific_DOWN
EVM0000712,Symbiotic_specific_UP
EVM0000731,Symbiotic_specific_UP
EVM0000766,Symbiotic_specific_UP
EVM0000790,Symbiotic_specific_UP
EVM0000792,Symbiotic_specific_UP
EVM0000793,Symbiotic_specific_UP
EVM0000796,Symbiotic_specific_UP
EVM0000854,NonSymbiotic_specific_DOWN
EVM0000863,Symbiotic_specific_UP
EVM0000876,Symbiotic_specific_UP
EVM0000881,Symbiotic_specific_UP
EVM0000882,Symbiotic_specific_UP
EVM0000926,Symbiotic_specific_UP
EVM0000929,NonSymbiotic_specific_DOWN
EVM0000937,Symbiotic_specific_UP
EVM0000988,Symbiotic_specific_UP
EVM0001017,Symbiotic_specific_UP
EVM0001029,Symbiotic_specific_UP
EVM0001073,Symbiotic_specific_UP
EVM0001075,Symbiotic_specific_UP
EVM0001081,NonSymbiotic_specific_DOWN
EVM0001102,NonSymbiotic_specific_DOWN
EVM0001103,Symbiotic_specific_UP
EVM0001110,Symbiotic_specific_UP
EVM0001125,Symbiotic_specific_UP
EVM0001151,Symbiotic_specific_UP
EVM0001154,Symbiotic_specific_UP
EVM0001166,NonSymbiotic_specific_DOWN
EVM0001176,Symbiotic_specific_UP
EVM0001185,Symbiotic_specific_UP
EVM0001217,Symbiotic_specific_UP
EVM0001229,Symbiotic_specific_UP
EVM0001383,Symbiotic_specific_UP
EVM0001386,Symbiotic_specific_UP
EVM0001393,Symbiotic_specific_UP
EVM0001402,Symbiotic_specific_UP
EVM0001412,NonSymbiotic_specific_DOWN
EVM0001418,NonSymbiotic_specific_DOWN
EVM0001421,Symbiotic_specific_UP
EVM0001524,Symbiotic_specific_UP
EVM0001548,Symbiotic_specific_UP
EVM0001550,Symbiotic_specific_UP
EVM0001582,Symbiotic_specific_UP
EVM0001643,Symbiotic_specific_UP
EVM0001649,Symbiotic_specific_UP
EVM0001709,Symbiotic_specific_UP
EVM0001836,Symbiotic_specific_UP
EVM0001848,Symbiotic_specific_UP
EVM0001894,NonSymbiotic_specific_DOWN
EVM0001908,Symbiotic_specific_UP
EVM0001933,Symbiotic_specific_UP
EVM0001937,Symbiotic_specific_UP
EVM0001939,NonSymbiotic_specific_DOWN
EVM0001979,Symbiotic_specific_UP
EVM0002014,Symbiotic_specific_UP
EVM0002020,Symbiotic_specific_UP
EVM0002033,Symbiotic_specific_UP
EVM0002075,Symbiotic_specific_UP
EVM0002101,Symbiotic_specific_UP
EVM0002119,Symbiotic_specific_UP
EVM0002137,Symbiotic_specific_UP
EVM0002138,Symbiotic_specific_UP
EVM0002208,Symbiotic_specific_UP
EVM0002212,Symbiotic_specific_UP
EVM0002245,NonSymbiotic_specific_DOWN
EVM0002253,NonSymbiotic_specific_DOWN
EVM0002283,Symbiotic_specific_UP
EVM0002286,Symbiotic_specific_UP
EVM0002316,Symbiotic_specific_UP
EVM0002351,Symbiotic_specific_UP
EVM0002364,Symbiotic_specific_UP
EVM0002381,Symbiotic_specific_UP
EVM0002385,Symbiotic_specific_UP
EVM0002389,Symbiotic_specific_UP
EVM0002434,Symbiotic_specific_UP
EVM0002468,Symbiotic_specific_UP
