GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0045859,regulation of protein kinase activity,6,5,0.28,2.217748e-04,BP
GO:0120029,proton export across plasma membrane,11,4,0.51,6.886330e-02,BP
GO:0032012,regulation of ARF protein signal transduction,13,4,0.61,1.244309e-01,BP
GO:0044282,small molecule catabolic process,10,3,0.47,1.703273e-01,BP
GO:0008643,carbohydrate transport,52,8,2.42,1.711634e-01,BP
GO:0042438,melanin biosynthetic process,5,2,0.23,1.877550e-01,BP
GO:0032974,amino acid transmembrane export from vacuole,5,2,0.23,1.944260e-01,BP
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,11,3,0.51,2.013408e-01,BP
GO:0006613,cotranslational protein targeting to membrane,11,3,0.51,2.013408e-01,BP
GO:0019628,urate catabolic process,6,2,0.28,2.200411e-01,BP
GO:0006612,protein targeting to membrane,12,3,0.56,2.341360e-01,BP
GO:0006810,transport,74,9,3.44,2.475787e-01,BP
GO:0071586,CAAX-box protein processing,6,2,0.28,2.512600e-01,BP
GO:0002182,cytoplasmic translational elongation,6,2,0.28,2.803369e-01,BP
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,6,2,0.28,3.050480e-01,BP
GO:0045047,protein targeting to ER,15,3,0.70,3.261639e-01,BP
GO:0009059,macromolecule biosynthetic process,41,6,1.91,3.670689e-01,BP
GO:0006458,'de novo' protein folding,8,2,0.37,3.891423e-01,BP
GO:0006144,purine nucleobase metabolic process,10,2,0.47,4.098751e-01,BP
GO:0008654,phospholipid biosynthetic process,29,4,1.35,4.170364e-01,BP
GO:0009057,macromolecule catabolic process,9,2,0.42,4.177435e-01,BP
GO:0006164,purine nucleotide biosynthetic process,8,2,0.37,4.183847e-01,BP
GO:0006357,regulation of transcription by RNA polymerase II,79,9,3.68,4.289800e-01,BP
GO:0006189,'de novo' IMP biosynthetic process,16,3,0.74,4.360391e-01,BP
GO:0006188,IMP biosynthetic process,16,3,0.74,4.360391e-01,BP
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,17,3,0.79,4.418789e-01,BP
GO:0006414,translational elongation,9,2,0.42,4.675151e-01,BP
GO:0071852,fungal-type cell wall organization or biogenesis,17,3,0.79,5.016316e-01,BP
GO:0006487,protein N-linked glycosylation,21,3,0.98,5.066331e-01,BP
GO:0022414,reproductive process,41,5,1.91,5.318234e-01,BP
GO:0009231,riboflavin biosynthetic process,11,2,0.51,5.464127e-01,BP
GO:0009101,glycoprotein biosynthetic process,23,3,1.07,5.491867e-01,BP
GO:0009308,amine metabolic process,19,3,0.88,5.519473e-01,BP
GO:0016485,protein processing,13,2,0.61,5.771568e-01,BP
GO:0009056,catabolic process,77,7,3.58,5.803527e-01,BP
GO:0010960,magnesium ion homeostasis,12,2,0.56,5.861016e-01,BP
GO:0007007,inner mitochondrial membrane organization,5,1,0.23,5.874480e-01,BP
GO:0051028,mRNA transport,23,3,1.07,5.927200e-01,BP
GO:0006878,intracellular copper ion homeostasis,11,2,0.51,5.943620e-01,BP
GO:0006865,amino acid transport,32,4,1.49,6.042047e-01,BP
GO:0051234,establishment of localization,310,20,14.43,6.222757e-01,BP
GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,5,1,0.23,6.298891e-01,BP
GO:0032509,endosome transport via multivesicular body sorting pathway,5,1,0.23,6.298891e-01,BP
GO:0006696,ergosterol biosynthetic process,5,1,0.23,6.321168e-01,BP
GO:0046165,alcohol biosynthetic process,5,1,0.23,6.321168e-01,BP
GO:0061982,meiosis I cell cycle process,25,3,1.16,6.338785e-01,BP
GO:1903046,meiotic cell cycle process,25,3,1.16,6.338785e-01,BP
GO:1990748,cellular detoxification,5,1,0.23,6.380227e-01,BP
GO:0006308,DNA catabolic process,5,1,0.23,6.408288e-01,BP
GO:0006623,protein targeting to vacuole,6,1,0.28,6.452280e-01,BP
GO:0044208,'de novo' AMP biosynthetic process,5,1,0.23,6.465340e-01,BP
GO:0006167,AMP biosynthetic process,5,1,0.23,6.465340e-01,BP
GO:0051179,localization,323,20,15.03,6.529616e-01,BP
