GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0031588,nucleotide-activated protein kinase complex,6,5,0.28,2.217748e-04,CC
GO:0016021,membrane,7698,449,358.29,4.995182e-02,CC
GO:0071339,MLL1 complex,18,5,0.84,7.572122e-02,CC
GO:0044665,MLL1/2 complex,18,5,0.84,7.572122e-02,CC
GO:0005786,"signal recognition particle, endoplasmic reticulum targeting",8,3,0.37,1.020044e-01,CC
GO:0035097,histone methyltransferase complex,27,6,1.26,1.051491e-01,CC
GO:0110165,cellular anatomical structure,8971,495,417.54,1.281545e-01,CC
GO:0048500,signal recognition particle,9,3,0.42,1.345831e-01,CC
GO:0005886,plasma membrane,206,23,9.59,1.392633e-01,CC
GO:0034708,methyltransferase complex,32,6,1.49,1.623000e-01,CC
GO:0005758,mitochondrial intermembrane space,16,4,0.74,1.896224e-01,CC
GO:0031970,organelle envelope lumen,16,4,0.74,1.896224e-01,CC
GO:0031974,membrane-enclosed lumen,16,4,0.74,1.896224e-01,CC
GO:0031901,early endosome membrane,5,2,0.23,1.960490e-01,CC
GO:0000159,protein phosphatase type 2A complex,6,2,0.28,2.692094e-01,CC
GO:0090575,RNA polymerase II transcription regulator complex,64,8,2.98,2.834879e-01,CC
GO:0010008,endosome membrane,30,5,1.40,2.889123e-01,CC
GO:0005575,cellular_component,9697,511,451.33,2.911330e-01,CC
GO:0005788,endoplasmic reticulum lumen,7,2,0.33,3.449129e-01,CC
GO:0005667,transcription regulator complex,79,8,3.68,4.111004e-01,CC
GO:0033179,"proton-transporting V-type ATPase, V0 domain",9,2,0.42,4.178610e-01,CC
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",9,2,0.42,4.178610e-01,CC
GO:0032300,mismatch repair complex,10,2,0.47,5.044864e-01,CC
GO:0016020,membrane,411,29,19.13,5.339193e-01,CC
GO:0005783,endoplasmic reticulum,58,5,2.70,5.822767e-01,CC
GO:0061617,MICOS complex,5,1,0.23,5.874480e-01,CC
GO:0042597,periplasmic space,16,2,0.74,6.294775e-01,CC
GO:0030286,dynein complex,5,1,0.23,6.447940e-01,CC
