GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0030151,molybdenum ion binding,12,5,0.56,2.828213e-02,MF
GO:0003714,transcription corepressor activity,19,6,0.88,4.648820e-02,MF
GO:0008553,P-type proton-exporting transporter activity,11,4,0.51,6.886330e-02,MF
GO:0016661,"oxidoreductase activity, acting on other nitrogenous compounds as donors",8,3,0.37,9.636934e-02,MF
GO:0008519,ammonium channel activity,8,3,0.37,1.033644e-01,MF
GO:0022857,transmembrane transporter activity,870,71,40.49,1.053835e-01,MF
GO:0140575,transmembrane monodehydroascorbate reductase activity,8,3,0.37,1.138058e-01,MF
GO:0008312,7S RNA binding,10,3,0.47,1.679712e-01,MF
GO:0019120,"hydrolase activity, acting on halide bonds, in C-halide compounds",9,3,0.42,1.757725e-01,MF
GO:0016824,"hydrolase activity, acting on halide bonds",9,3,0.42,1.757725e-01,MF
GO:0004503,tyrosinase activity,5,2,0.23,1.877550e-01,MF
GO:0008324,monoatomic cation transmembrane transporter activity,17,4,0.79,2.087445e-01,MF
GO:0004846,urate oxidase activity,6,2,0.28,2.200411e-01,MF
GO:0016663,"oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor",6,2,0.28,2.200411e-01,MF
GO:0016491,oxidoreductase activity,2930,180,136.37,2.271194e-01,MF
GO:0004181,metallocarboxypeptidase activity,18,4,0.84,2.359998e-01,MF
GO:0016742,"hydroxymethyl-, formyl- and related transferase activity",17,4,0.79,2.419697e-01,MF
GO:0003700,DNA-binding transcription factor activity,117,14,5.45,2.684305e-01,MF
GO:0071949,FAD binding,333,29,15.50,2.766997e-01,MF
GO:0019706,protein-cysteine S-palmitoyltransferase activity,13,3,0.61,2.917044e-01,MF
GO:0019707,protein-cysteine S-acyltransferase activity,13,3,0.61,2.917044e-01,MF
GO:0042123,glucanosyltransferase activity,6,2,0.28,3.008163e-01,MF
GO:0032266,phosphatidylinositol-3-phosphate binding,7,2,0.33,3.011163e-01,MF
GO:0140825,lactoperoxidase activity,7,2,0.33,3.066611e-01,MF
GO:0016716,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen",7,2,0.33,3.193736e-01,MF
GO:0036002,pre-mRNA binding,7,2,0.33,3.220060e-01,MF
GO:0070628,proteasome binding,7,2,0.33,3.419909e-01,MF
GO:0051998,protein carboxyl O-methyltransferase activity,21,4,0.98,3.480518e-01,MF
GO:0010340,carboxyl-O-methyltransferase activity,21,4,0.98,3.480518e-01,MF
GO:0019238,cyclohydrolase activity,7,2,0.33,3.551001e-01,MF
GO:0016409,palmitoyltransferase activity,15,3,0.70,3.571914e-01,MF
GO:1990837,sequence-specific double-stranded DNA binding,40,5,1.86,3.802047e-01,MF
GO:0043565,sequence-specific DNA binding,136,14,6.33,4.000314e-01,MF
GO:0010181,FMN binding,140,14,6.52,4.098527e-01,MF
GO:0004497,monooxygenase activity,886,60,41.24,4.194384e-01,MF
GO:0004725,protein tyrosine phosphatase activity,34,5,1.58,4.301069e-01,MF
GO:0019888,protein phosphatase regulator activity,9,2,0.42,4.498365e-01,MF
GO:0004671,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity,16,3,0.74,4.504605e-01,MF
GO:0003880,protein C-terminal carboxyl O-methyltransferase activity,16,3,0.74,4.504605e-01,MF
GO:0003690,double-stranded DNA binding,67,7,3.12,4.609240e-01,MF
GO:0070330,aromatase activity,11,2,0.51,4.637426e-01,MF
GO:0005227,calcium-activated cation channel activity,18,3,0.84,4.697810e-01,MF
GO:0008289,lipid binding,28,4,1.30,4.914484e-01,MF
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",118,11,5.49,4.977010e-01,MF
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",781,52,36.35,5.031035e-01,MF
GO:0003712,transcription coregulator activity,52,6,2.42,5.290472e-01,MF
GO:0140110,transcription regulator activity,52,6,2.42,5.290472e-01,MF
GO:0005375,copper ion transmembrane transporter activity,10,2,0.47,5.479794e-01,MF
GO:0019901,protein kinase binding,22,3,1.02,5.718332e-01,MF
GO:0019900,kinase binding,22,3,1.02,5.718332e-01,MF
GO:0004499,"N,N-dimethylaniline monooxygenase activity",79,8,3.68,5.780655e-01,MF
GO:0004180,carboxypeptidase activity,110,10,5.12,5.806831e-01,MF
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",15,2,0.70,5.810758e-01,MF
GO:0009055,electron transfer activity,31,4,1.44,5.899872e-01,MF
GO:0016652,"oxidoreductase activity, acting on NAD(P)H as acceptor",11,2,0.51,5.957905e-01,MF
GO:0015078,proton transmembrane transporter activity,53,5,2.47,5.993448e-01,MF
GO:0003958,NADPH-hemoprotein reductase activity,16,2,0.74,6.040109e-01,MF
GO:0004567,beta-mannosidase activity,26,3,1.21,6.119742e-01,MF
GO:0001727,lipid kinase activity,12,2,0.56,6.259304e-01,MF
GO:0004017,AMP kinase activity,5,1,0.23,6.374420e-01,MF
GO:0016651,"oxidoreductase activity, acting on NAD(P)H",59,6,2.75,6.382033e-01,MF
