GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0045859,regulation of protein kinase activity,6,5,0.28,2.217748e-04,BP
GO:0031588,nucleotide-activated protein kinase complex,6,5,0.28,2.217748e-04,CC
GO:0030151,molybdenum ion binding,12,5,0.56,2.828213e-02,MF
GO:0003714,transcription corepressor activity,19,6,0.88,4.648820e-02,MF
GO:0016021,membrane,7698,449,358.29,4.995182e-02,CC
GO:0120029,proton export across plasma membrane,11,4,0.51,6.886330e-02,BP
GO:0008553,P-type proton-exporting transporter activity,11,4,0.51,6.886330e-02,MF
GO:0071339,MLL1 complex,18,5,0.84,7.572122e-02,CC
GO:0044665,MLL1/2 complex,18,5,0.84,7.572122e-02,CC
GO:0016661,"oxidoreductase activity, acting on other nitrogenous compounds as donors",8,3,0.37,9.636934e-02,MF
GO:0005786,"signal recognition particle, endoplasmic reticulum targeting",8,3,0.37,1.020044e-01,CC
GO:0008519,ammonium channel activity,8,3,0.37,1.033644e-01,MF
GO:0035097,histone methyltransferase complex,27,6,1.26,1.051491e-01,CC
GO:0022857,transmembrane transporter activity,870,71,40.49,1.053835e-01,MF
GO:0140575,transmembrane monodehydroascorbate reductase activity,8,3,0.37,1.138058e-01,MF
GO:0032012,regulation of ARF protein signal transduction,13,4,0.61,1.244309e-01,BP
GO:0110165,cellular anatomical structure,8971,495,417.54,1.281545e-01,CC
GO:0048500,signal recognition particle,9,3,0.42,1.345831e-01,CC
GO:0005886,plasma membrane,206,23,9.59,1.392633e-01,CC
GO:0034708,methyltransferase complex,32,6,1.49,1.623000e-01,CC
GO:0008312,7S RNA binding,10,3,0.47,1.679712e-01,MF
GO:0044282,small molecule catabolic process,10,3,0.47,1.703273e-01,BP
GO:0008643,carbohydrate transport,52,8,2.42,1.711634e-01,BP
GO:0019120,"hydrolase activity, acting on halide bonds, in C-halide compounds",9,3,0.42,1.757725e-01,MF
GO:0016824,"hydrolase activity, acting on halide bonds",9,3,0.42,1.757725e-01,MF
GO:0042438,melanin biosynthetic process,5,2,0.23,1.877550e-01,BP
GO:0004503,tyrosinase activity,5,2,0.23,1.877550e-01,MF
GO:0005758,mitochondrial intermembrane space,16,4,0.74,1.896224e-01,CC
GO:0031970,organelle envelope lumen,16,4,0.74,1.896224e-01,CC
GO:0031974,membrane-enclosed lumen,16,4,0.74,1.896224e-01,CC
GO:0032974,amino acid transmembrane export from vacuole,5,2,0.23,1.944260e-01,BP
GO:0031901,early endosome membrane,5,2,0.23,1.960490e-01,CC
GO:0006614,SRP-dependent cotranslational protein targeting to membrane,11,3,0.51,2.013408e-01,BP
GO:0006613,cotranslational protein targeting to membrane,11,3,0.51,2.013408e-01,BP
GO:0008324,monoatomic cation transmembrane transporter activity,17,4,0.79,2.087445e-01,MF
GO:0019628,urate catabolic process,6,2,0.28,2.200411e-01,BP
GO:0004846,urate oxidase activity,6,2,0.28,2.200411e-01,MF
GO:0016663,"oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor",6,2,0.28,2.200411e-01,MF
GO:0016491,oxidoreductase activity,2930,180,136.37,2.271194e-01,MF
GO:0006612,protein targeting to membrane,12,3,0.56,2.341360e-01,BP
GO:0004181,metallocarboxypeptidase activity,18,4,0.84,2.359998e-01,MF
GO:0016742,"hydroxymethyl-, formyl- and related transferase activity",17,4,0.79,2.419697e-01,MF
GO:0006810,transport,74,9,3.44,2.475787e-01,BP
GO:0071586,CAAX-box protein processing,6,2,0.28,2.512600e-01,BP
GO:0003700,DNA-binding transcription factor activity,117,14,5.45,2.684305e-01,MF
GO:0000159,protein phosphatase type 2A complex,6,2,0.28,2.692094e-01,CC
GO:0071949,FAD binding,333,29,15.50,2.766997e-01,MF
GO:0002182,cytoplasmic translational elongation,6,2,0.28,2.803369e-01,BP
GO:0090575,RNA polymerase II transcription regulator complex,64,8,2.98,2.834879e-01,CC
GO:0010008,endosome membrane,30,5,1.40,2.889123e-01,CC
GO:0005575,cellular_component,9697,511,451.33,2.911330e-01,CC
GO:0019706,protein-cysteine S-palmitoyltransferase activity,13,3,0.61,2.917044e-01,MF
GO:0019707,protein-cysteine S-acyltransferase activity,13,3,0.61,2.917044e-01,MF
GO:0042123,glucanosyltransferase activity,6,2,0.28,3.008163e-01,MF
GO:0032266,phosphatidylinositol-3-phosphate binding,7,2,0.33,3.011163e-01,MF
GO:0006515,protein quality control for misfolded or incompletely synthesized proteins,6,2,0.28,3.050480e-01,BP
GO:0140825,lactoperoxidase activity,7,2,0.33,3.066611e-01,MF
GO:0016716,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, another compound as one donor, and incorporation of one atom of oxygen",7,2,0.33,3.193736e-01,MF
GO:0036002,pre-mRNA binding,7,2,0.33,3.220060e-01,MF
GO:0045047,protein targeting to ER,15,3,0.70,3.261639e-01,BP
GO:0070628,proteasome binding,7,2,0.33,3.419909e-01,MF
GO:0005788,endoplasmic reticulum lumen,7,2,0.33,3.449129e-01,CC
GO:0051998,protein carboxyl O-methyltransferase activity,21,4,0.98,3.480518e-01,MF
GO:0010340,carboxyl-O-methyltransferase activity,21,4,0.98,3.480518e-01,MF
GO:0019238,cyclohydrolase activity,7,2,0.33,3.551001e-01,MF
GO:0016409,palmitoyltransferase activity,15,3,0.70,3.571914e-01,MF
GO:0009059,macromolecule biosynthetic process,41,6,1.91,3.670689e-01,BP
GO:1990837,sequence-specific double-stranded DNA binding,40,5,1.86,3.802047e-01,MF
GO:0006458,'de novo' protein folding,8,2,0.37,3.891423e-01,BP
GO:0043565,sequence-specific DNA binding,136,14,6.33,4.000314e-01,MF
GO:0010181,FMN binding,140,14,6.52,4.098527e-01,MF
GO:0006144,purine nucleobase metabolic process,10,2,0.47,4.098751e-01,BP
GO:0005667,transcription regulator complex,79,8,3.68,4.111004e-01,CC
GO:0008654,phospholipid biosynthetic process,29,4,1.35,4.170364e-01,BP
GO:0009057,macromolecule catabolic process,9,2,0.42,4.177435e-01,BP
GO:0033179,"proton-transporting V-type ATPase, V0 domain",9,2,0.42,4.178610e-01,CC
GO:0033177,"proton-transporting two-sector ATPase complex, proton-transporting domain",9,2,0.42,4.178610e-01,CC
GO:0006164,purine nucleotide biosynthetic process,8,2,0.37,4.183847e-01,BP
GO:0004497,monooxygenase activity,886,60,41.24,4.194384e-01,MF
GO:0006357,regulation of transcription by RNA polymerase II,79,9,3.68,4.289800e-01,BP
GO:0004725,protein tyrosine phosphatase activity,34,5,1.58,4.301069e-01,MF
GO:0006189,'de novo' IMP biosynthetic process,16,3,0.74,4.360391e-01,BP
GO:0006188,IMP biosynthetic process,16,3,0.74,4.360391e-01,BP
GO:0000079,regulation of cyclin-dependent protein serine/threonine kinase activity,17,3,0.79,4.418789e-01,BP
GO:0019888,protein phosphatase regulator activity,9,2,0.42,4.498365e-01,MF
GO:0004671,protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity,16,3,0.74,4.504605e-01,MF
GO:0003880,protein C-terminal carboxyl O-methyltransferase activity,16,3,0.74,4.504605e-01,MF
GO:0003690,double-stranded DNA binding,67,7,3.12,4.609240e-01,MF
GO:0070330,aromatase activity,11,2,0.51,4.637426e-01,MF
GO:0006414,translational elongation,9,2,0.42,4.675151e-01,BP
GO:0005227,calcium-activated cation channel activity,18,3,0.84,4.697810e-01,MF
GO:0008289,lipid binding,28,4,1.30,4.914484e-01,MF
GO:0016616,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",118,11,5.49,4.977010e-01,MF
GO:0071852,fungal-type cell wall organization or biogenesis,17,3,0.79,5.016316e-01,BP
GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",781,52,36.35,5.031035e-01,MF
GO:0032300,mismatch repair complex,10,2,0.47,5.044864e-01,CC
GO:0006487,protein N-linked glycosylation,21,3,0.98,5.066331e-01,BP
GO:0003712,transcription coregulator activity,52,6,2.42,5.290472e-01,MF
GO:0140110,transcription regulator activity,52,6,2.42,5.290472e-01,MF
GO:0022414,reproductive process,41,5,1.91,5.318234e-01,BP
GO:0016020,membrane,411,29,19.13,5.339193e-01,CC
GO:0009231,riboflavin biosynthetic process,11,2,0.51,5.464127e-01,BP
GO:0005375,copper ion transmembrane transporter activity,10,2,0.47,5.479794e-01,MF
GO:0009101,glycoprotein biosynthetic process,23,3,1.07,5.491867e-01,BP
GO:0009308,amine metabolic process,19,3,0.88,5.519473e-01,BP
GO:0019901,protein kinase binding,22,3,1.02,5.718332e-01,MF
GO:0019900,kinase binding,22,3,1.02,5.718332e-01,MF
GO:0016485,protein processing,13,2,0.61,5.771568e-01,BP
GO:0004499,"N,N-dimethylaniline monooxygenase activity",79,8,3.68,5.780655e-01,MF
GO:0009056,catabolic process,77,7,3.58,5.803527e-01,BP
GO:0004180,carboxypeptidase activity,110,10,5.12,5.806831e-01,MF
GO:0016712,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",15,2,0.70,5.810758e-01,MF
GO:0005783,endoplasmic reticulum,58,5,2.70,5.822767e-01,CC
GO:0010960,magnesium ion homeostasis,12,2,0.56,5.861016e-01,BP
GO:0007007,inner mitochondrial membrane organization,5,1,0.23,5.874480e-01,BP
GO:0061617,MICOS complex,5,1,0.23,5.874480e-01,CC
GO:0009055,electron transfer activity,31,4,1.44,5.899872e-01,MF
GO:0051028,mRNA transport,23,3,1.07,5.927200e-01,BP
GO:0006878,intracellular copper ion homeostasis,11,2,0.51,5.943620e-01,BP
GO:0016652,"oxidoreductase activity, acting on NAD(P)H as acceptor",11,2,0.51,5.957905e-01,MF
GO:0015078,proton transmembrane transporter activity,53,5,2.47,5.993448e-01,MF
GO:0003958,NADPH-hemoprotein reductase activity,16,2,0.74,6.040109e-01,MF
GO:0006865,amino acid transport,32,4,1.49,6.042047e-01,BP
GO:0004567,beta-mannosidase activity,26,3,1.21,6.119742e-01,MF
GO:0051234,establishment of localization,310,20,14.43,6.222757e-01,BP
GO:0001727,lipid kinase activity,12,2,0.56,6.259304e-01,MF
GO:0042597,periplasmic space,16,2,0.74,6.294775e-01,CC
GO:0032511,late endosome to vacuole transport via multivesicular body sorting pathway,5,1,0.23,6.298891e-01,BP
GO:0032509,endosome transport via multivesicular body sorting pathway,5,1,0.23,6.298891e-01,BP
GO:0006696,ergosterol biosynthetic process,5,1,0.23,6.321168e-01,BP
GO:0046165,alcohol biosynthetic process,5,1,0.23,6.321168e-01,BP
GO:0061982,meiosis I cell cycle process,25,3,1.16,6.338785e-01,BP
GO:1903046,meiotic cell cycle process,25,3,1.16,6.338785e-01,BP
GO:0004017,AMP kinase activity,5,1,0.23,6.374420e-01,MF
GO:1990748,cellular detoxification,5,1,0.23,6.380227e-01,BP
GO:0016651,"oxidoreductase activity, acting on NAD(P)H",59,6,2.75,6.382033e-01,MF
GO:0006308,DNA catabolic process,5,1,0.23,6.408288e-01,BP
GO:0016653,"oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor",18,2,0.84,6.442271e-01,MF
GO:0030286,dynein complex,5,1,0.23,6.447940e-01,CC
GO:0006623,protein targeting to vacuole,6,1,0.28,6.452280e-01,BP
GO:0008287,protein serine/threonine phosphatase complex,14,2,0.65,6.459438e-01,CC
GO:0030144,"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity",15,2,0.70,6.463537e-01,MF
GO:0044208,'de novo' AMP biosynthetic process,5,1,0.23,6.465340e-01,BP
GO:0006167,AMP biosynthetic process,5,1,0.23,6.465340e-01,BP
GO:0070290,N-acylphosphatidylethanolamine-specific phospholipase D activity,5,1,0.23,6.517506e-01,MF
GO:0004630,D-type glycerophospholipase activity,5,1,0.23,6.517506e-01,MF
GO:0051179,localization,323,20,15.03,6.529616e-01,BP
GO:0016709,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen",87,8,4.05,6.541862e-01,MF
GO:1901136,carbohydrate derivative catabolic process,5,1,0.23,6.542602e-01,BP
GO:0016638,"oxidoreductase activity, acting on the CH-NH2 group of donors",35,4,1.63,6.560004e-01,MF
GO:0090304,nucleic acid metabolic process,5,1,0.23,6.563827e-01,BP
GO:0003854,3-beta-hydroxy-Delta5-steroid dehydrogenase (NAD+) activity,17,2,0.79,6.605151e-01,MF
GO:0033764,"steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",17,2,0.79,6.605151e-01,MF
GO:0016229,steroid dehydrogenase activity,17,2,0.79,6.605151e-01,MF
GO:0055129,L-proline biosynthetic process,6,1,0.28,6.623174e-01,BP
GO:0017018,myosin phosphatase activity,34,4,1.58,6.632571e-01,MF
GO:0016602,CCAAT-binding factor complex,5,1,0.23,6.644762e-01,CC
GO:0048038,quinone binding,13,2,0.61,6.674661e-01,MF
GO:0004609,phosphatidylserine decarboxylase activity,18,2,0.84,6.681614e-01,MF
GO:0140103,"catalytic activity, acting on a glycoprotein",16,2,0.74,6.712562e-01,MF
GO:0007023,post-chaperonin tubulin folding pathway,5,1,0.23,6.727430e-01,BP
GO:0005832,chaperonin-containing T-complex,15,2,0.70,6.729938e-01,CC
GO:0101031,protein folding chaperone complex,15,2,0.70,6.729938e-01,CC
GO:0016614,"oxidoreductase activity, acting on CH-OH group of donors",316,22,14.71,6.733284e-01,MF
GO:0046148,pigment biosynthetic process,26,3,1.21,6.763269e-01,BP
GO:0000439,transcription factor TFIIH core complex,6,1,0.28,6.793248e-01,CC
GO:0032299,ribonuclease H2 complex,5,1,0.23,6.818480e-01,CC
GO:0015923,mannosidase activity,66,5,3.07,6.820986e-01,MF
GO:0015165,pyrimidine nucleotide-sugar transmembrane transporter activity,5,1,0.23,6.835696e-01,MF
GO:0005338,nucleotide-sugar transmembrane transporter activity,5,1,0.23,6.835696e-01,MF
GO:0050794,regulation of cellular process,385,23,17.92,6.872579e-01,BP
GO:0007033,vacuole organization,7,1,0.33,6.875209e-01,BP
GO:0045324,late endosome to vacuole transport,6,1,0.28,6.881014e-01,BP
GO:0036374,glutathione gamma-glutamate hydrolase,5,1,0.23,6.881546e-01,MF
GO:0008242,omega peptidase activity,5,1,0.23,6.881546e-01,MF
GO:0007165,signal transduction,359,21,16.71,6.908655e-01,BP
GO:0034511,U3 snoRNA binding,7,1,0.33,6.913420e-01,MF
GO:0106310,protein serine kinase activity,19,2,0.88,6.933632e-01,MF
GO:0044283,small molecule biosynthetic process,44,4,2.05,6.968084e-01,BP
GO:0140664,ATP-dependent DNA damage sensor activity,29,3,1.35,7.024406e-01,MF
GO:0140612,DNA damage sensor activity,29,3,1.35,7.024406e-01,MF
GO:0006813,potassium ion transport,6,1,0.28,7.035832e-01,BP
GO:0003886,DNA (cytosine-5-)-methyltransferase activity,5,1,0.23,7.038425e-01,MF
GO:0009008,DNA-methyltransferase activity,5,1,0.23,7.038425e-01,MF
GO:0035251,UDP-glucosyltransferase activity,27,3,1.26,7.081232e-01,MF
GO:0042765,GPI-anchor transamidase complex,5,1,0.23,7.110256e-01,CC
GO:0019774,"proteasome core complex, beta-subunit complex",6,1,0.28,7.128729e-01,CC
GO:0006857,oligopeptide transport,16,2,0.74,7.130744e-01,BP
GO:0042364,water-soluble vitamin biosynthetic process,30,3,1.40,7.146759e-01,BP
GO:0009110,vitamin biosynthetic process,30,3,1.40,7.146759e-01,BP
GO:0006766,vitamin metabolic process,30,3,1.40,7.146759e-01,BP
GO:0051321,meiotic cell cycle,15,2,0.70,7.154112e-01,BP
GO:0098798,mitochondrial protein-containing complex,19,2,0.88,7.165290e-01,CC
GO:0000041,transition metal ion transport,7,1,0.33,7.196464e-01,BP
GO:0046982,protein heterodimerization activity,126,7,5.86,7.198129e-01,MF
GO:0000502,proteasome complex,29,3,1.35,7.201523e-01,CC
GO:0036085,GDP-fucose import into Golgi lumen,6,1,0.28,7.235417e-01,BP
GO:0005457,GDP-fucose transmembrane transporter activity,6,1,0.28,7.235417e-01,MF
GO:0008276,protein methyltransferase activity,55,5,2.56,7.242645e-01,MF
GO:0000285,1-phosphatidylinositol-3-phosphate 5-kinase activity,7,1,0.33,7.247201e-01,MF
GO:0061711,tRNA N(6)-L-threonylcarbamoyladenine synthase activity,8,1,0.37,7.250502e-01,MF
GO:0015986,proton motive force-driven ATP synthesis,32,3,1.49,7.254128e-01,BP
GO:0006754,ATP biosynthetic process,32,3,1.49,7.254128e-01,BP
GO:0015940,pantothenate biosynthetic process,7,1,0.33,7.269204e-01,BP
GO:0005085,guanyl-nucleotide exchange factor activity,105,8,4.89,7.276105e-01,MF
GO:0031090,organelle membrane,319,19,14.85,7.291837e-01,CC
GO:0008138,protein tyrosine/serine/threonine phosphatase activity,42,4,1.95,7.305393e-01,MF
GO:0016156,fumarate reductase (NADH) activity,7,1,0.33,7.312007e-01,MF
GO:0007034,vacuolar transport,45,4,2.09,7.316619e-01,BP
GO:0035673,oligopeptide transmembrane transporter activity,57,5,2.65,7.326378e-01,MF
GO:0036452,ESCRT complex,7,1,0.33,7.328433e-01,CC
GO:0007021,tubulin complex assembly,6,1,0.28,7.338277e-01,BP
GO:0140684,histone H3K9me2/H3K9me3 demethylase activity,6,1,0.28,7.340306e-01,MF
GO:1901135,carbohydrate derivative metabolic process,17,2,0.79,7.357763e-01,BP
GO:0015833,peptide transport,17,2,0.79,7.364517e-01,BP
GO:0004060,arylamine N-acetyltransferase activity,7,1,0.33,7.368861e-01,MF
GO:0043130,ubiquitin binding,40,4,1.86,7.400197e-01,MF
GO:0032182,ubiquitin-like protein binding,40,4,1.86,7.400197e-01,MF
GO:0046034,ATP metabolic process,7,1,0.33,7.413506e-01,BP
GO:0042440,pigment metabolic process,30,3,1.40,7.421516e-01,BP
GO:0016790,thiolester hydrolase activity,21,2,0.98,7.431514e-01,MF
GO:0005385,zinc ion transmembrane transporter activity,8,1,0.37,7.444098e-01,MF
GO:0006596,polyamine biosynthetic process,9,1,0.42,7.454403e-01,BP
GO:0042401,biogenic amine biosynthetic process,9,1,0.42,7.454403e-01,BP
GO:0009309,amine biosynthetic process,9,1,0.42,7.454403e-01,BP
GO:0006576,biogenic amine metabolic process,9,1,0.42,7.454403e-01,BP
GO:0016977,chitosanase activity,8,1,0.37,7.454506e-01,MF
GO:0005742,mitochondrial outer membrane translocase complex,7,1,0.33,7.457982e-01,CC
GO:0000155,phosphorelay sensor kinase activity,29,3,1.35,7.459658e-01,MF
GO:0004673,protein histidine kinase activity,29,3,1.35,7.459658e-01,MF
GO:0016775,"phosphotransferase activity, nitrogenous group as acceptor",29,3,1.35,7.459658e-01,MF
GO:0044550,secondary metabolite biosynthetic process,126,8,5.86,7.500297e-01,BP
GO:0016641,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",28,3,1.30,7.508065e-01,MF
GO:0005672,transcription factor TFIIA complex,8,1,0.37,7.511001e-01,CC
GO:0019805,quinolinate biosynthetic process,6,1,0.28,7.520527e-01,BP
GO:0006569,L-tryptophan catabolic process,6,1,0.28,7.520527e-01,BP
GO:0034354,'de novo' NAD+ biosynthetic process from L-tryptophan,6,1,0.28,7.520527e-01,BP
GO:0019748,secondary metabolic process,127,8,5.91,7.540596e-01,BP
GO:0004805,trehalose-phosphatase activity,6,1,0.28,7.577311e-01,MF
GO:0032153,cell division site,6,1,0.28,7.583270e-01,CC
GO:0030145,manganese ion binding,32,3,1.49,7.585180e-01,MF
GO:0006694,steroid biosynthetic process,23,2,1.07,7.597275e-01,BP
GO:0030837,negative regulation of actin filament polymerization,6,1,0.28,7.602118e-01,BP
GO:0051494,negative regulation of cytoskeleton organization,6,1,0.28,7.602118e-01,BP
GO:0030163,protein catabolic process,57,5,2.65,7.620533e-01,BP
GO:0004176,ATP-dependent peptidase activity,8,1,0.37,7.638991e-01,MF
GO:0005774,vacuolar membrane,54,4,2.51,7.650304e-01,CC
GO:0140056,organelle localization by membrane tethering,7,1,0.33,7.689270e-01,BP
GO:0022406,membrane docking,7,1,0.33,7.689270e-01,BP
GO:0051640,organelle localization,7,1,0.33,7.689270e-01,BP
GO:0045721,negative regulation of gluconeogenesis,10,1,0.47,7.694950e-01,BP
GO:0045912,negative regulation of carbohydrate metabolic process,10,1,0.47,7.694950e-01,BP
GO:0006109,regulation of carbohydrate metabolic process,10,1,0.47,7.694950e-01,BP
GO:0009892,negative regulation of metabolic process,10,1,0.47,7.694950e-01,BP
GO:0009890,negative regulation of biosynthetic process,10,1,0.47,7.694950e-01,BP
GO:0015079,potassium ion transmembrane transporter activity,7,1,0.33,7.707241e-01,MF
GO:0140662,ATP-dependent protein folding chaperone,53,4,2.47,7.711137e-01,MF
GO:0044183,protein folding chaperone,53,4,2.47,7.711137e-01,MF
GO:0006298,mismatch repair,19,2,0.88,7.715714e-01,BP
GO:0030983,mismatched DNA binding,19,2,0.88,7.715714e-01,MF
GO:0008897,holo-[acyl-carrier-protein] synthase activity,7,1,0.33,7.720959e-01,MF
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,41,4,1.91,7.722013e-01,BP
GO:0031503,protein-containing complex localization,6,1,0.28,7.730093e-01,BP
GO:0006869,lipid transport,18,2,0.84,7.765733e-01,BP
GO:0050145,nucleoside monophosphate kinase activity,8,1,0.37,7.769743e-01,MF
GO:0046961,"proton-transporting ATPase activity, rotational mechanism",23,2,1.07,7.770166e-01,MF
GO:0044769,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",23,2,1.07,7.770166e-01,MF
GO:0042625,ATPase-coupled ion transmembrane transporter activity,23,2,1.07,7.770166e-01,MF
GO:0061630,ubiquitin protein ligase activity,40,3,1.86,7.824515e-01,MF
GO:0061659,ubiquitin-like protein ligase activity,40,3,1.86,7.824515e-01,MF
GO:0006656,phosphatidylcholine biosynthetic process,8,1,0.37,7.841032e-01,BP
GO:0046527,glucosyltransferase activity,32,3,1.49,7.841666e-01,MF
GO:0016741,"transferase activity, transferring one-carbon groups",441,27,20.53,7.852373e-01,MF
GO:0016831,carboxy-lyase activity,64,5,2.98,7.856191e-01,MF
GO:0070273,phosphatidylinositol-4-phosphate binding,11,1,0.51,7.865702e-01,MF
GO:0052742,phosphatidylinositol kinase activity,9,1,0.42,7.881994e-01,MF
GO:0022625,cytosolic large ribosomal subunit,7,1,0.33,7.890057e-01,CC
GO:0005506,iron ion binding,699,41,32.53,7.913386e-01,MF
GO:0044281,small molecule metabolic process,124,8,5.77,7.925358e-01,BP
GO:0008094,"ATP-dependent activity, acting on DNA",106,7,4.93,7.937756e-01,MF
GO:0048188,Set1C/COMPASS complex,8,1,0.37,7.945660e-01,CC
GO:0008202,steroid metabolic process,26,2,1.21,7.948400e-01,BP
GO:0007005,mitochondrion organization,19,2,0.88,7.959896e-01,BP
GO:0071985,multivesicular body sorting pathway,9,1,0.42,7.967932e-01,BP
GO:0030036,actin cytoskeleton organization,18,2,0.84,7.984243e-01,BP
GO:0004549,tRNA-specific ribonuclease activity,8,1,0.37,8.002297e-01,MF
GO:0008757,S-adenosylmethionine-dependent methyltransferase activity,76,6,3.54,8.017747e-01,MF
GO:0006749,glutathione metabolic process,8,1,0.37,8.018548e-01,BP
GO:0050308,sugar-phosphatase activity,7,1,0.33,8.048394e-01,MF
GO:0019203,carbohydrate phosphatase activity,7,1,0.33,8.048394e-01,MF
GO:0070647,protein modification by small protein conjugation or removal,147,8,6.84,8.093576e-01,BP
GO:0043687,post-translational protein modification,147,8,6.84,8.093576e-01,BP
GO:0050291,sphingosine N-acyltransferase activity,7,1,0.33,8.095687e-01,MF
GO:0005789,endoplasmic reticulum membrane,192,11,8.94,8.108154e-01,CC
GO:0008195,phosphatidate phosphatase activity,7,1,0.33,8.119701e-01,MF
GO:0042577,lipid phosphatase activity,7,1,0.33,8.119701e-01,MF
GO:0046873,metal ion transmembrane transporter activity,29,2,1.35,8.134494e-01,MF
GO:0004707,MAP kinase activity,7,1,0.33,8.136655e-01,MF
GO:0003995,acyl-CoA dehydrogenase activity,11,1,0.51,8.136708e-01,MF
