"Gene ID","Gene Name","Gene Description",FC(M50/M5),Log2FC(M50/M5),Pvalue,Padjust,Significant,Regulate,M50_1,M50_2,M50_3,M5_1,M5_2,M5_3,M50,M5
EVM0000010,,-,2.42355778745,1.27712648262,0.000203113540466,0.00318672029457,yes,up,74.46,90.49,78.57,29.45,29.7,37.84,81.1733333333,32.33
EVM0000018,,-,0.210583059361,-2.24753871341,0.000242033957837,0.00362044139925,yes,down,32.83,27.98,50.66,70.96,306.27,125.64,37.1566666667,167.623333333
EVM0000024,,-,2.08557237528,1.06044337871,0.00388439660615,0.0277038679011,yes,up,34.55,37.78,46.31,19.69,21.53,13.6,39.5466666667,18.2733333333
EVM0000025,,-,2.09902056814,1.06971630355,0.00485046900988,0.0323965203557,yes,up,122.92,147.46,193.96,60.81,60.12,91.26,154.78,70.73
EVM0000034,,-,0.227476677377,-2.13620945796,0.000109108704467,0.00199587438834,yes,down,33.79,33.88,43.63,183.27,232.96,57.02,37.1,157.75
EVM0000035,,-,0.262740740826,-1.92828817142,0.00180238220187,0.0157544151627,yes,down,3.5,5.89,6.13,6.09,20.98,28.56,5.17333333333,18.5433333333
EVM0000055,,-,0.353745323891,-1.4992170176,0.000458288457417,0.00587314787196,yes,down,1.54,2.29,1.89,7.22,4.32,4.05,1.90666666667,5.19666666667
EVM0000056,,-,7.9227331558,2.98599821188,0.00161089217168,0.0146949980957,yes,up,0.71,1.56,1.37,0.12,0.07,0.24,1.21333333333,0.143333333333
EVM0000061,,-,3.98853665094,1.995859535,0.00401477801604,0.028363736239,yes,up,311.8,376.71,360.73,125.94,115.8,13.84,349.746666667,85.1933333333
EVM0000091,,-,0.284344165125,-1.81428989507,3.25542285264E-5,0.000745719208276,yes,down,4.1,4.82,4.96,20.25,18.31,8.42,4.62666666667,15.66
EVM0000107,,-,11.7551607037,3.55522235696,9.8869232556E-6,0.000284427008217,yes,up,45.53,58.15,42.2,0.24,4.6,6.88,48.6266666667,3.90666666667
EVM0000108,,-,0.139456317917,-2.84211479931,1.94348970757E-5,0.000498487089045,yes,down,2.51,3.31,3.01,40.19,16.44,5.08,2.94333333333,20.57
EVM0000111,,-,0.391042820127,-1.35460150014,0.00117988492258,0.0117012305063,yes,down,5.24,10.6,11.82,22.83,24.53,20.02,9.22,22.46
EVM0000121,,-,11.0204779879,3.46211489374,0.00197325486138,0.0168627007641,yes,up,1.27,1.85,1.51,0.2,0,0.19,1.54333333333,0.13
EVM0000122,,-,0.31628352281,-1.6607096961,0.000373857037962,0.00506552339304,yes,down,6.88,6.74,6.92,25.89,26.15,10.72,6.84666666667,20.92
EVM0000127,,-,15.8697867459,3.98821083663,0.00706415746474,0.0422392920572,yes,up,0.66,1.02,0.62,0,0,0.13,0.766666666667,0.0433333333333
EVM0000130,,-,0.416516414155,-1.26355474419,0.0068707274646,0.0414967013146,yes,down,3.31,4.41,3.3,11.87,8.61,5.08,3.67333333333,8.52
EVM0000139,,-,0.0674846362488,-3.88929709843,6.85573685374E-5,0.0013788159802,yes,down,0,0.91,0.35,3.05,7.9,6.82,0.42,5.92333333333
EVM0000145,,-,0.332396236208,-1.58902404862,0.000400027631289,0.00531203604917,yes,down,25.64,25.37,27.83,103,87.79,38.78,26.28,76.5233333333
EVM0000151,,-,0.0136816913222,-6.19160960346,2.36782243587E-5,0.000583339791088,yes,down,0,0.23,0,1.26,12.13,2.87,0.0766666666667,5.42
EVM0000152,,-,37.0346305708,5.21080304094,0.00424448113276,0.029557909719,yes,up,0.81,1.87,1,0,0,0,1.22666666667,0
EVM0000154,,-,40.8008186342,5.35052619384,0.00173676052738,0.0153979064508,yes,up,0.19,1.41,3.14,0,0,0.1,1.58,0.0333333333333
