"Gene ID","Gene Name","Gene Description",FC(MS20/M5),Log2FC(MS20/M5),Pvalue,Padjust,Significant,Regulate,MS20_1,MS20_2,MS20_3,M5_1,M5_2,M5_3,MS20,M5
EVM0000009,,-,3.3610134726,1.74889632569,0.00136996958853,0.0118260610069,yes,up,32.06,20.3,17.91,4.9,2.8,10.69,23.4233333333,6.13
EVM0000010,,-,2.29388449351,1.19779274757,0.0023474285174,0.0179579578578,yes,up,81.47,88.05,70.61,29.45,29.7,37.84,80.0433333333,32.33
EVM0000011,,-,7.17031791305,2.84203708565,0.00111199444622,0.0100762355561,yes,up,2.1,1.81,1.96,0.22,0.46,0.07,1.95666666667,0.25
EVM0000018,,-,0.29312520692,-1.77041105884,0.00308085541554,0.022171583109,yes,down,40.68,55.42,62.56,70.96,306.27,125.64,52.8866666667,167.623333333
EVM0000022,,-,0.0172310409751,-5.85884632836,4.31034208421E-5,0.000756780898334,yes,down,0,0,0.11,2.3,3.9,0.55,0.0366666666667,2.25
EVM0000033,,-,8.76482933987,3.13172600052,0.000332500551151,0.00390095583329,yes,up,9.75,4.5,3.06,0.5,0.2,0.97,5.77,0.556666666667
EVM0000034,,-,0.19736977348,-2.34102703209,1.35789054503E-5,0.000299279755919,yes,down,42.09,34.62,26.59,183.27,232.96,57.02,34.4333333333,157.75
EVM0000035,,-,0.0552341519491,-4.17829561096,1.26971019202E-7,5.70567480958E-6,yes,down,0.29,2.26,0.73,6.09,20.98,28.56,1.09333333333,18.5433333333
EVM0000037,,-,0.364171866511,-1.45730862126,0.00141720036392,0.0121339258269,yes,down,59.66,93.81,69.31,218.95,115.34,237.2,74.26,190.496666667
EVM0000057,,-,0.199730468296,-2.32387366643,9.24720165848E-6,0.000219169880492,yes,down,15.07,12.2,18.01,40.3,111.34,56.1,15.0933333333,69.2466666667
EVM0000061,,-,4.54902062505,2.18555597576,0.00104527738209,0.00960215685891,yes,up,608.77,348.94,340.71,125.94,115.8,13.84,432.806666667,85.1933333333
EVM0000062,,-,0.0630646915419,-3.98702369003,0.000755972442437,0.00740827752438,yes,down,0.23,0.18,0.09,0.13,0.85,5.83,0.166666666667,2.27
EVM0000091,,-,0.323490637789,-1.62820413541,0.00065187514338,0.00660882053824,yes,down,8.95,4.89,3.66,20.25,18.31,8.42,5.83333333333,15.66
EVM0000110,,-,19.7373930613,4.30285954436,7.41619752708E-8,3.59777516396E-6,yes,up,3717.69,8076.71,9872.36,850.31,42.03,278.65,7222.25333333,390.33
EVM0000112,,-,3.27685979418,1.71231394613,0.0078873747013,0.0441642825087,yes,up,13.56,8.89,10,0.88,3,4.91,10.8166666667,2.93
EVM0000121,,-,11.7177451685,3.5506230753,0.00249678784673,0.0187418729672,yes,up,3.03,0.93,1.52,0.2,0,0.19,1.82666666667,0.13
EVM0000127,,-,53.4063577877,5.73893959341,1.20093203902E-5,0.000270094676974,yes,up,1.3,3.39,3.19,0,0,0.13,2.62666666667,0.0433333333333
EVM0000132,,-,0.320669379758,-1.64084149533,0.00308964761436,0.0222257738925,yes,down,1.41,0.98,0.63,3.09,3.06,2.14,1.00666666667,2.76333333333
