Gene_ID,Gene_Name,FPKM_5d,FPKM_10d,FPKM_20d,FPKM_30d,FPKM_40d,FPKM_50d
Gene001,MyNrt,13.5824,13.3665,17.4753,14.9195,16.9636,16.5599
Gene002,MyNir,51.8877,46.5581,58.7515,66.5178,65.7012,68.5705
Gene003,MFS_03,13.9445,19.1462,21.3982,21.5235,20.9602,22.1125
Gene004,MFS_04,42.1555,45.2827,49.1084,51.1754,45.7141,49.3499
Gene005,MFS_05,46.8856,41.7313,48.1127,62.1088,53.6455,59.5092
Gene006,GPCR_01,31.4024,33.4396,32.7586,41.1549,37.9268,41.0289
Gene007,GPCR_02,40.3245,45.9214,48.6107,51.3187,46.9887,54.0397
Gene008,GPCR_03,15.6335,20.8275,19.714,24.6616,24.4045,26.8763
Gene009,NIT_01,28.2559,29.6806,30.1809,38.3908,35.7773,34.525
Gene010,NIT_02,30.7483,41.5159,46.5249,49.8862,45.3695,42.4279
Gene011,NIT_03,45.7666,57.4324,64.0816,67.4049,60.8576,65.8527
Gene012,MyAmid,40.9229,42.0143,52.9672,63.8073,63.5721,64.4665
Gene013,IAA_02,9.6963,11.5795,10.0559,12.2807,14.4678,14.6543
Gene014,IAA_03,38.5748,37.5175,41.0298,51.7849,55.1157,58.8659
Gene015,LAC_01,46.2527,49.6713,60.4023,62.7683,67.7889,73.1789
Gene016,POD_01,42.8607,46.7114,47.5836,60.0821,53.77,65.0118
Gene017,POD_02,27.5351,32.5499,30.3995,33.0142,44.7401,41.098
Gene018,PKA_01,10.7892,12.4788,11.7916,14.4808,13.0125,13.5261
Gene019,MAP_01,29.2634,32.4231,37.1307,43.051,40.2838,39.9173
Gene020,HOG_01,37.9795,43.1225,42.8483,45.5762,64.3989,65.4621
Gene021,CAT_01,35.3268,35.2841,39.1796,43.7799,51.1032,56.3675
Gene022,HSP_01,32.4174,42.4855,44.7248,45.9655,49.7402,49.3899
Gene023,CW_01,15.4502,18.7379,16.5922,18.6182,19.341,20.3018
Gene024,CW_02,46.1532,46.4852,46.0021,56.5353,59.831,57.2051
Gene025,TF_01,23.7766,27.3315,30.6904,27.5965,32.7248,37.1087
